"BehaviorSpace results (NetLogo 5.0.3)"
"BusinessInvestorWithAdaptiveBehavior.nlogo"
"expVarProfitMultiplier"
"01/22/2013 17:00:39:974 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","profitMultiplier","[step]","mean [w] of turtles"
"34","0.6","2","9763.902"
"35","0.6","0","0"
"33","0.6","8","37223.31600000002"
"34","0.6","3","14471.58"
"35","0.6","1","4649.238000000001"
"34","0.6","4","18924.522"
"35","0.6","2","9308.322000000002"
"33","0.6","9","41652.005999999994"
"34","0.6","5","23758.457999999995"
"35","0.6","3","13938.443999999996"
"33","0.6","10","45655.36800000002"
"35","0.6","4","18170.753999999997"
"33","0.6","11","49967.405999999995"
"34","0.6","6","28037.279999999995"
"35","0.6","5","22799.262000000006"
"34","0.6","7","32390.478000000003"
"33","0.6","12","54208.967999999986"
"34","0.6","8","36679.86600000001"
"35","0.6","6","27161.502"
"33","0.6","13","58108.925999999985"
"34","0.6","9","40861.09799999999"
"35","0.6","7","31655.717999999993"
"33","0.6","14","62206.51800000002"
"34","0.6","10","44840.52600000001"
"35","0.6","8","36119.814000000006"
"33","0.6","15","66191.99999999999"
"34","0.6","11","48840.81000000002"
"35","0.6","9","40394.94599999999"
"33","0.6","16","70253.11200000001"
"34","0.6","12","52837.662000000004"
"35","0.6","10","44448.78600000001"
"33","0.6","17","74273.41799999999"
"34","0.6","13","56824.51799999998"
"35","0.6","11","48669.43800000002"
"33","0.6","18","78410.77799999999"
"34","0.6","14","60773.748000000036"
"35","0.6","12","52503.65999999998"
"33","0.6","19","82288.05600000004"
"34","0.6","15","64717.433999999994"
"35","0.6","13","56305.224"
"33","0.6","20","86160.936"
"34","0.6","16","68550.3"
"35","0.6","14","60303.840000000026"
"33","0.6","21","89973.726"
"34","0.6","17","72274.94400000002"
"35","0.6","15","64170.636"
"33","0.6","22","93448.554"
"34","0.6","18","76028.124"
"35","0.6","16","67889.058"
"33","0.6","23","97338.87599999997"
"34","0.6","19","79568.77199999998"
"35","0.6","17","71804.94599999998"
"33","0.6","24","101135.796"
"34","0.6","20","83290.57800000001"
"35","0.6","18","75536.502"
